volcano_number,volcano_name,eruption_number,eruption_category,start_year,start_month,start_day,end_year,end_month,end_day,latitude,longitude
284096,Nishinoshima,22280,Confirmed Eruption,2018.0,7.0,12.0,2018.0,7.0,21.0,27.247,140.874
233005,Mayotte,22337,Confirmed Eruption,2018.0,7.0,3.0,2019.0,8.0,20.0,-12.83,45.17
353050,"Negra, Sierra",22279,Confirmed Eruption,2018.0,6.0,26.0,2018.0,8.0,23.0,-0.83,-91.17
344040,Telica,22277,Confirmed Eruption,2018.0,6.0,21.0,2018.0,8.0,15.0,12.606,-86.84
262000,Krakatau,22275,Confirmed Eruption,2018.0,6.0,18.0,2020.0,4.0,17.0,-6.102,105.42299999999999
353010,Fernandina,22278,Confirmed Eruption,2018.0,6.0,16.0,2018.0,6.0,21.0,-0.37,-91.55
311120,Great Sitkin,22276,Confirmed Eruption,2018.0,6.0,10.0,2018.0,8.0,11.0,52.076,-176.13
252120,Ulawun,22285,Confirmed Eruption,2018.0,6.0,8.0,2018.0,6.0,8.0,-5.05,151.33
263250,Merapi,22264,Confirmed Eruption,2018.0,5.0,11.0,2020.0,4.0,17.0,-7.54,110.446
300130,Karymsky,22265,Confirmed Eruption,2018.0,4.0,28.0,2018.0,9.0,30.0,54.049,159.44299999999998
261140,Marapi,22262,Confirmed Eruption,2018.0,4.0,27.0,2018.0,5.0,2.0,-0.38,100.47399999999999
344020,San Cristobal,22266,Confirmed Eruption,2018.0,4.0,22.0,2018.0,4.0,22.0,12.702,-87.00399999999999
261170,Kerinci,22274,Confirmed Eruption,2018.0,4.0,21.0,2020.0,4.0,17.0,-1.6969999999999998,101.264
223020,Nyamuragira,22315,Confirmed Eruption,2018.0,4.0,18.0,2020.0,4.0,7.0,-1.4080000000000001,29.2
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,2018.0,4.0,3.0,2018.0,11.0,1.0,-21.244,55.708
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,2018.0,4.0,1.0,2018.0,4.0,1.0,-7.2,109.87899999999999
282090,Kirishimayama,22257,Confirmed Eruption,2018.0,3.0,1.0,2018.0,6.0,27.0,31.934,130.862
352090,Sangay,22259,Confirmed Eruption,2018.0,2.0,25.0,2018.0,2.0,25.0,-2.005,-78.34100000000001
267020,Karangetang,22256,Confirmed Eruption,2018.0,2.0,2.0,2018.0,2.0,2.0,2.781,125.40700000000001
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,2018.0,1.0,23.0,2018.0,1.0,23.0,36.618,138.528
343100,San Miguel,22251,Confirmed Eruption,2018.0,1.0,14.0,2018.0,5.0,30.0,13.434000000000001,-88.26899999999999
273030,Mayon,22250,Confirmed Eruption,2018.0,1.0,13.0,2019.0,10.0,12.0,13.257,123.685
251002,Kadovar,22246,Confirmed Eruption,2018.0,1.0,5.0,2020.0,4.0,17.0,-3.608,144.588
351020,"Ruiz, Nevado del",22348,Uncertain Eruption,2017.0,12.0,18.0,2017.0,12.0,18.0,4.8919999999999995,-75.324
272020,Kanlaon,22249,Confirmed Eruption,2017.0,12.0,9.0,2017.0,12.0,9.0,10.412,123.132
264020,Agung,22241,Confirmed Eruption,2017.0,11.0,21.0,2019.0,6.0,13.0,-8.343,115.508
261230,Dempo,22248,Confirmed Eruption,2017.0,11.0,9.0,2017.0,11.0,9.0,-4.016,103.12100000000001
256010,Tinakula,22239,Confirmed Eruption,2017.0,10.0,21.0,2017.0,10.0,26.0,-10.386,165.804
290240,Sarychev Peak,22308,Confirmed Eruption,2017.0,10.0,12.0,2017.0,11.0,13.0,48.092,153.2
282090,Kirishimayama,22242,Confirmed Eruption,2017.0,10.0,11.0,2017.0,10.0,17.0,31.934,130.862
257030,Ambae,22240,Confirmed Eruption,2017.0,9.0,6.0,2018.0,10.0,30.0,-15.389000000000001,167.835
353010,Fernandina,22245,Confirmed Eruption,2017.0,9.0,4.0,2017.0,9.0,7.0,-0.37,-91.55
344020,San Cristobal,22252,Confirmed Eruption,2017.0,8.0,18.0,2017.0,11.0,11.0,12.702,-87.00399999999999
261170,Kerinci,22273,Confirmed Eruption,2017.0,8.0,13.0,2017.0,8.0,13.0,-1.6969999999999998,101.264
352090,Sangay,22231,Confirmed Eruption,2017.0,7.0,20.0,2017.0,10.0,26.0,-2.005,-78.34100000000001
264050,Sangeang Api,22228,Confirmed Eruption,2017.0,7.0,15.0,2020.0,3.0,30.0,-8.2,119.07
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,2017.0,7.0,14.0,2017.0,8.0,28.0,-21.244,55.708
252120,Ulawun,22225,Confirmed Eruption,2017.0,6.0,11.0,2017.0,11.0,3.0,-5.05,151.33
273010,Bulusan,22229,Confirmed Eruption,2017.0,6.0,5.0,2017.0,6.0,5.0,12.769,124.056
261140,Marapi,22226,Confirmed Eruption,2017.0,6.0,4.0,2017.0,6.0,4.0,-0.38,100.47399999999999
300130,Karymsky,22230,Confirmed Eruption,2017.0,6.0,4.0,2018.0,1.0,27.0,54.049,159.44299999999998
357090,Copahue,22232,Confirmed Eruption,2017.0,6.0,4.0,2018.0,12.0,7.0,-37.856,-71.183
345020,Rincon de la Vieja,22208,Confirmed Eruption,2017.0,5.0,23.0,2018.0,3.0,15.0,10.83,-85.324
267020,Karangetang,22212,Uncertain Eruption,2017.0,5.0,10.0,2017.0,5.0,10.0,2.781,125.40700000000001
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,2017.0,4.0,30.0,2017.0,7.0,2.0,-7.2,109.87899999999999
284096,Nishinoshima,22207,Confirmed Eruption,2017.0,4.0,18.0,2017.0,8.0,17.0,27.247,140.874
345040,Poas,22209,Confirmed Eruption,2017.0,4.0,12.0,2017.0,11.0,6.0,10.2,-84.23299999999999
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,2017.0,4.0,9.0,2020.0,3.0,24.0,-2.764,35.914
360160,Kick 'em Jenny,22260,Confirmed Eruption,2017.0,3.0,29.0,2017.0,3.0,29.0,12.3,-61.64
282080,Aira,22203,Confirmed Eruption,2017.0,3.0,25.0,2020.0,4.0,17.0,31.593000000000004,130.657
300010,Kambalny,22198,Confirmed Eruption,2017.0,3.0,24.0,2017.0,4.0,10.0,51.306000000000004,156.875
264100,Ebulobo,22211,Uncertain Eruption,2017.0,3.0,12.0,2017.0,3.0,12.0,-8.817,121.191
262000,Krakatau,22188,Confirmed Eruption,2017.0,2.0,19.0,2017.0,2.0,19.0,-6.102,105.42299999999999
344020,San Cristobal,22269,Confirmed Eruption,2017.0,2.0,18.0,2017.0,4.0,19.0,12.702,-87.00399999999999
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,2017.0,1.0,31.0,2017.0,2.0,27.0,-21.244,55.708
243030,Unnamed,22185,Confirmed Eruption,2017.0,1.0,23.0,2017.0,1.0,31.0,-20.851999999999997,-175.55
260010,Barren Island,22187,Confirmed Eruption,2017.0,1.0,15.0,2017.0,5.0,16.0,12.277999999999999,93.85799999999999
343100,San Miguel,22192,Confirmed Eruption,2017.0,1.0,7.0,2017.0,1.0,7.0,13.434000000000001,-88.26899999999999
311300,Bogoslof,22182,Confirmed Eruption,2016.0,12.0,20.0,2017.0,8.0,30.0,53.93,-168.03
290260,Chirinkotan,22175,Confirmed Eruption,2016.0,11.0,29.0,2017.0,4.0,7.0,48.98,153.48
223020,Nyamuragira,22202,Confirmed Eruption,2016.0,11.0,27.0,2017.0,5.0,2.0,-1.4080000000000001,29.2
300120,Zhupanovsky,22177,Confirmed Eruption,2016.0,11.0,20.0,2016.0,11.0,20.0,53.589,159.15
261170,Kerinci,22172,Confirmed Eruption,2016.0,11.0,15.0,2016.0,11.0,21.0,-1.6969999999999998,101.264
354006,Sabancaya,22158,Confirmed Eruption,2016.0,11.0,6.0,2020.0,4.0,17.0,-15.787,-71.857
290380,Ebeko,22176,Confirmed Eruption,2016.0,10.0,20.0,2020.0,4.0,17.0,50.68600000000001,156.014
