volcano_number,volcano_name,eruption_number,event_number,event_type
210020,Chaine des Puys,10011,100001,Explosion
210020,Chaine des Puys,10011,100002,Scoria
210020,Chaine des Puys,10011,100003,Pyroclastic flow
210020,Chaine des Puys,10011,100004,Lava flow(s)
210020,Chaine des Puys,10011,100005,Cinder cone formation
210020,Chaine des Puys,10011,100006,Pumice
210040,Calatrava Volcanic Field,10012,100008,Explosion
210040,Calatrava Volcanic Field,10012,100009,Pyroclastic flow
211003,Vulsini,10014,100019,Flames
211004,Colli Albani,10015,100021,Phreatic activity
211010,Campi Flegrei,10018,100025,Explosion
211010,Campi Flegrei,10018,100026,Pyroclastic flow
211010,Campi Flegrei,10018,100027,Pumice
211010,Campi Flegrei,10019,100030,Explosion
211010,Campi Flegrei,10019,100031,Ash
211010,Campi Flegrei,10019,100032,Lapilli
211010,Campi Flegrei,10019,100033,Pyroclastic flow
211010,Campi Flegrei,10019,100034,Pumice
211010,Campi Flegrei,10025,100036,Explosion
211010,Campi Flegrei,10025,100037,Ash
211010,Campi Flegrei,10025,100038,Lapilli
211010,Campi Flegrei,10025,100039,Pyroclastic flow
211010,Campi Flegrei,10026,100041,Explosion
211010,Campi Flegrei,10026,100042,Ash
211010,Campi Flegrei,10026,100043,Pyroclastic flow
211010,Campi Flegrei,10026,100044,Pumice
211010,Campi Flegrei,10027,100046,Explosion
211010,Campi Flegrei,10027,100047,Ash
211010,Campi Flegrei,10027,100048,Lapilli
211010,Campi Flegrei,10027,100049,Pyroclastic flow
211010,Campi Flegrei,10027,100050,Pumice
211010,Campi Flegrei,10028,100052,Explosion
211010,Campi Flegrei,10028,100053,Ash
211010,Campi Flegrei,10028,100054,Lapilli
211010,Campi Flegrei,10028,100055,Pyroclastic flow
211010,Campi Flegrei,10029,100057,Explosion
211010,Campi Flegrei,10029,100058,Ash
211010,Campi Flegrei,10029,100059,Lapilli
211010,Campi Flegrei,10029,100060,Pyroclastic flow
211010,Campi Flegrei,10029,100061,Pumice
263300,Semeru,10030,100063,Explosion
263300,Semeru,10030,100064,Lahar or mudflow
263300,Semeru,10031,100066,Explosion
263300,Semeru,10031,100067,Ash
263300,Semeru,10031,100068,Bombs
211010,Campi Flegrei,10037,100069,Ash
211010,Campi Flegrei,10037,100070,Scoria
211010,Campi Flegrei,10037,100071,Pyroclastic flow
211010,Campi Flegrei,10037,100072,Lava flow(s)
211010,Campi Flegrei,10037,100073,Lava dome formation
211010,Campi Flegrei,10037,100074,Pumice
211010,Campi Flegrei,10037,100075,Phreatomagmatic eruption
211010,Campi Flegrei,10038,100077,Explosion
211010,Campi Flegrei,10038,100078,Ash
211010,Campi Flegrei,10038,100079,Pyroclastic flow
211010,Campi Flegrei,10038,100080,Lava flow(s)
213020,Nemrut Dagi,10039,100081,Explosion
213020,Nemrut Dagi,10039,100082,Ash
211010,Campi Flegrei,10040,100084,Phreatic activity
211010,Campi Flegrei,10040,100085,Property damage
211010,Campi Flegrei,10040,100086,Earthquakes (undefined)
211010,Campi Flegrei,10040,100087,Blocks
211010,Campi Flegrei,10041,100089,Explosion
211010,Campi Flegrei,10041,100090,Ash
211010,Campi Flegrei,10041,100091,Scoria
211010,Campi Flegrei,10041,100092,Pyroclastic flow
211010,Campi Flegrei,10041,100093,Phreatic activity
211010,Campi Flegrei,10041,100094,Lava flow(s)
211010,Campi Flegrei,10041,100095,Lava lake
211010,Campi Flegrei,10041,100096,Property damage
211010,Campi Flegrei,10041,100097,Fatalities
211010,Campi Flegrei,10041,100098,Evacuations
211010,Campi Flegrei,10041,100099,Lava fountains
211010,Campi Flegrei,10041,100100,Cinder cone formation
211010,Campi Flegrei,10041,100101,Earthquakes (undefined)
211010,Campi Flegrei,10041,100102,Earthquakes (undefined)
211020,Vesuvius,10046,100103,Scoria
211020,Vesuvius,10046,100104,Pyroclastic flow
211020,Vesuvius,10046,100105,Pumice
211020,Vesuvius,10047,100107,Explosion
211020,Vesuvius,10047,100108,Ash
211020,Vesuvius,10047,100109,Lapilli
211020,Vesuvius,10047,100110,Scoria
211020,Vesuvius,10047,100111,Property damage
211020,Vesuvius,10047,100112,Lahar or mudflow
211020,Vesuvius,10047,100113,Pumice
211020,Vesuvius,10048,100115,Explosion
211020,Vesuvius,10048,100116,Pumice
211020,Vesuvius,10049,100118,Explosion
211020,Vesuvius,10049,100119,Ash
211020,Vesuvius,10049,100120,Lapilli
211020,Vesuvius,10049,100121,Scoria
211020,Vesuvius,10049,100122,Lahar or mudflow
211020,Vesuvius,10049,100123,Pumice
211020,Vesuvius,10050,100125,Explosion
211020,Vesuvius,10050,100126,Ash
211020,Vesuvius,10050,100127,Lapilli
211020,Vesuvius,10050,100128,Pyroclastic flow
211020,Vesuvius,10050,100129,Property damage
211020,Vesuvius,10050,100130,Fatalities
211020,Vesuvius,10050,100131,Lahar or mudflow
211020,Vesuvius,10050,100132,Tsunami
211020,Vesuvius,10050,100133,Caldera formation
211020,Vesuvius,10050,100134,Evacuations
211020,Vesuvius,10050,100135,Eruption cloud
211020,Vesuvius,10050,100136,Seismicity (volcanic)
332010,Kilauea,10060,100137,Blocks
332010,Kilauea,10061,100139,Ash
332010,Kilauea,10061,100140,Lapilli
332010,Kilauea,10061,100141,Lava flow(s)
332010,Kilauea,10061,100142,Lava fountains
332010,Kilauea,10061,100143,Pumice
332010,Kilauea,10062,100145,Phreatic activity
332010,Kilauea,10062,100146,Lava flow(s)
332010,Kilauea,10062,100147,Property damage
332010,Kilauea,10062,100148,Fatalities
332010,Kilauea,10062,100149,Blocks
332010,Kilauea,10062,100150,Lava flow(s)
332010,Kilauea,10063,100152,Lava flow(s)
332010,Kilauea,10063,100153,Lava lake
332010,Kilauea,10063,100154,Earthquakes (undefined)
332010,Kilauea,10063,100155,Partial collapse at end of eruption
332010,Kilauea,10064,100157,Lava flow(s)
332010,Kilauea,10064,100158,Earthquakes (undefined)
332010,Kilauea,10065,100160,Lava flow(s)
332010,Kilauea,10065,100161,Lava lake
332010,Kilauea,10065,100162,Property damage
332010,Kilauea,10065,100163,Lava flow(s)
332010,Kilauea,10065,100164,Partial collapse at end of eruption
332010,Kilauea,10066,100166,Explosion
332010,Kilauea,10066,100167,Scoria
332010,Kilauea,10066,100168,Lava flow(s)
332010,Kilauea,10066,100169,Earthquakes (undefined)
332010,Kilauea,10066,100170,Pumice
332010,Kilauea,10079,100171,Phreatic activity
332010,Kilauea,10079,100172,Fatalities
332010,Kilauea,10079,100173,Earthquakes (undefined)
332010,Kilauea,10079,100174,Blocks
332010,Kilauea,10079,100175,Partial collapse at end of eruption
332010,Kilauea,10080,100177,Lava flow(s)
332010,Kilauea,10081,100179,Lava flow(s)
332010,Kilauea,10081,100180,Lava lake
332010,Kilauea,10081,100181,Lava fountains
332010,Kilauea,10081,100182,Volcanic tremor
332010,Kilauea,10081,100183,Earthquakes (undefined)
332010,Kilauea,10082,100185,Debris avalanches
332010,Kilauea,10082,100186,Earthquakes (undefined)
332010,Kilauea,10083,100188,Lava flow(s)
332010,Kilauea,10083,100189,Lava lake
332010,Kilauea,10083,100190,Lava fountains
332010,Kilauea,10083,100191,Volcanic tremor
332010,Kilauea,10083,100192,Earthquakes (undefined)
332010,Kilauea,10083,100193,Deformation (inflation)
332010,Kilauea,10083,100194,Deformation (deflation)
332010,Kilauea,10084,100196,Lava flow(s)
332010,Kilauea,10084,100197,Lava lake
332010,Kilauea,10084,100198,Lava fountains
332010,Kilauea,10084,100199,Volcanic tremor
332010,Kilauea,10084,100200,Earthquakes (undefined)
332010,Kilauea,10084,100201,Deformation (inflation)
332010,Kilauea,10084,100202,Deformation (deflation)
332010,Kilauea,10085,100204,Lava flow(s)
332010,Kilauea,10090,100205,Evacuations
332010,Kilauea,10090,100206,Lava fountains
332010,Kilauea,10090,100207,Flames
332010,Kilauea,10090,100208,Loud audible noises
332010,Kilauea,10090,100209,Seismicity (volcanic)
332010,Kilauea,10090,100210,Seismicity (volcanic)
332010,Kilauea,10090,100211,Deformation (undefined)
332010,Kilauea,10090,100212,Pumice
332010,Kilauea,10090,100213,Glow
332010,Kilauea,10090,100214,Lava flow(s)
332010,Kilauea,10091,100217,Explosion
332010,Kilauea,10091,100218,Ash
332010,Kilauea,10091,100219,Bombs
332010,Kilauea,10091,100220,Phreatic activity
332010,Kilauea,10091,100221,Lava flow(s)
332010,Kilauea,10091,100222,Property damage
332010,Kilauea,10091,100223,Evacuations
332010,Kilauea,10091,100224,Lava fountains
332010,Kilauea,10091,100225,Cinder cone formation
332010,Kilauea,10091,100226,Volcanic tremor
332010,Kilauea,10091,100227,Earthquakes (undefined)
332010,Kilauea,10091,100228,Pumice
332010,Kilauea,10091,100229,Lava flow(s)
332010,Kilauea,10092,100231,Lava flow(s)
332010,Kilauea,10092,100232,Lava fountains
332010,Kilauea,10093,100234,Lava flow(s)
332010,Kilauea,10093,100235,Lava fountains
332010,Kilauea,10094,100237,Lava flow(s)
332010,Kilauea,10094,100238,Lava fountains
334050,Northern EPR at 9.8°N,10338,100240,Lava flow(s)
334050,Northern EPR at 9.8°N,10339,100243,Lava flow(s)
334050,Northern EPR at 9.8°N,10340,100246,Lava flow(s)
334140,Southern EPR-Segment I,10341,100249,Lava flow(s)
354020,Ubinas,10342,100251,Explosion
354020,Ubinas,10342,100252,Ash
354020,Ubinas,10343,100254,Explosion
354020,Ubinas,10343,100255,Ash
354020,Ubinas,10343,100256,Property damage
334050,Northern EPR at 9.8°N,10344,100259,Lava flow(s)
334050,Northern EPR at 9.8°N,10345,100262,Lava flow(s)
334050,Northern EPR at 9.8°N,10346,100265,Lava flow(s)
334050,Northern EPR at 9.8°N,10346,100266,Earthquakes (undefined)
334050,Northern EPR at 9.8°N,10346,100267,Earthquakes (undefined)
334070,Galapagos Rift,10347,100269,Lava flow(s)
334070,Galapagos Rift,10347,100270,Earthquakes (undefined)
334070,Galapagos Rift,10347,100271,Fauna kill
334130,Southern EPR-Segment J,10359,100273,Lava flow(s)
334140,Southern EPR-Segment I,10360,100276,Lava flow(s)
334140,Southern EPR-Segment I,10361,100279,Lava flow(s)
341001,Pinacate,10365,100283,Explosion
341001,Pinacate,10365,100284,Ash
341001,Pinacate,10366,100285,Explosion
341001,Pinacate,10366,100286,Ash
341021,Socorro,10370,100294,Explosion
341021,Socorro,10370,100295,Lava flow(s)
341021,Socorro,10370,100296,Lava flow(s)
341021,Socorro,10373,100299,Phreatic activity
341021,Socorro,10374,100301,Phreatic activity
341021,Socorro,10374,100302,Blocks
600000,Unknown Source,10375,100303,Explosion
341090,Popocatepetl,10376,100305,Explosion
341030,Ceboruco,10383,100307,Lava flow(s)
341030,Ceboruco,10383,100308,Lava dome formation
341030,Ceboruco,10383,100309,Property damage
341030,Ceboruco,10383,100310,Evacuations
341030,Ceboruco,10383,100311,Earthquakes (undefined)
341040,Colima,10384,100313,Explosion
341040,Colima,10384,100314,Edifice destroyed
341040,Colima,10384,100315,Debris avalanches
341040,Colima,10384,100316,Pumice
341040,Colima,10385,100318,Explosion
341040,Colima,10385,100319,Pyroclastic flow
341040,Colima,10386,100321,Explosion
341040,Colima,10386,100322,Ash
341040,Colima,10386,100323,Scoria
341040,Colima,10387,100325,Explosion
341040,Colima,10387,100326,Pyroclastic flow
341040,Colima,10388,100328,Explosion
341040,Colima,10388,100329,Scoria
341040,Colima,10388,100330,Debris avalanches
341040,Colima,10389,100332,Explosion
341040,Colima,10389,100333,Ash
341040,Colima,10390,100335,Explosion
341040,Colima,10390,100336,Pyroclastic flow
341040,Colima,10391,100338,Explosion
341040,Colima,10391,100339,Ash
341040,Colima,10400,100341,Debris avalanches
341040,Colima,10401,100343,Explosion
341040,Colima,10401,100344,Pumice
341040,Colima,10402,100346,Explosion
341040,Colima,10402,100347,Ash
341040,Colima,10403,100349,Explosion
341040,Colima,10403,100350,Pyroclastic flow
341040,Colima,10404,100352,Explosion
341040,Colima,10404,100353,Pyroclastic flow
341040,Colima,10405,100355,Explosion
341040,Colima,10405,100356,Pyroclastic flow
341040,Colima,10406,100358,Explosion
341040,Colima,10406,100359,Pyroclastic flow
341040,Colima,10406,100360,Edifice destroyed
341040,Colima,10406,100361,Debris avalanches
341040,Colima,10406,100362,Pumice
341040,Colima,10407,100364,Explosion
341040,Colima,10407,100365,Pyroclastic flow
341040,Colima,10408,100367,Explosion
341040,Colima,10408,100368,Pyroclastic flow
341040,Colima,10409,100370,Explosion
341040,Colima,10409,100371,Pyroclastic flow
341040,Colima,10409,100372,Pumice
343020,Santa Ana,10410,100373,Explosion
343020,Santa Ana,10410,100374,Ash
341040,Colima,10418,100375,Scoria
341040,Colima,10418,100376,Pyroclastic flow
341040,Colima,10418,100377,Earthquakes (undefined)
341040,Colima,10419,100379,Explosion
341040,Colima,10419,100380,Ash
341040,Colima,10419,100381,Pyroclastic flow
341040,Colima,10420,100383,Explosion
341040,Colima,10420,100384,Ash
341040,Colima,10420,100385,Pyroclastic flow
341040,Colima,10420,100386,Earthquakes (undefined)
341040,Colima,10421,100388,Explosion
341040,Colima,10421,100389,Ash
263280,Kelut,10422,100392,Explosion
263280,Kelut,10422,100393,Property damage
263280,Kelut,10422,100394,Fatalities
263280,Kelut,10422,100395,Lahar or mudflow
263280,Kelut,10423,100398,Explosion
263280,Kelut,10423,100399,Property damage
263280,Kelut,10423,100400,Fatalities
263280,Kelut,10423,100401,Lahar or mudflow
341040,Colima,10424,100403,Explosion
341040,Colima,10424,100404,Ash
341040,Colima,10424,100405,Earthquakes (undefined)
341040,Colima,10425,100407,Explosion
341040,Colima,10425,100408,Ash
341040,Colima,10435,100409,Ash
341040,Colima,10435,100410,Pyroclastic flow
600000,Unknown Source,13270,100411,Explosion
600000,Unknown Source,13271,100412,Explosion
600000,Unknown Source,13272,100413,Explosion
600000,Unknown Source,13273,100414,Explosion
600000,Unknown Source,13274,100415,Explosion
600000,Unknown Source,13275,100416,Explosion
600000,Unknown Source,13276,100417,Explosion
600000,Unknown Source,13277,100418,Explosion
600000,Unknown Source,13278,100419,Explosion
600000,Unknown Source,13279,100420,Explosion
600000,Unknown Source,13280,100421,Explosion
600000,Unknown Source,13281,100422,Explosion
600000,Unknown Source,13282,100423,Explosion
600000,Unknown Source,13283,100424,Explosion
600000,Unknown Source,13284,100425,Explosion
600000,Unknown Source,13285,100426,Explosion
600000,Unknown Source,13286,100427,Explosion
600000,Unknown Source,13287,100428,Explosion
600000,Unknown Source,13288,100429,Explosion
600000,Unknown Source,13289,100430,Explosion
600000,Unknown Source,13290,100431,Explosion
600000,Unknown Source,13291,100432,Explosion
600000,Unknown Source,13292,100433,Explosion
600000,Unknown Source,13293,100434,Explosion
600000,Unknown Source,13294,100435,Explosion
211020,Vesuvius,13311,100437,Explosion
211020,Vesuvius,13311,100438,Ash
211020,Vesuvius,13311,100439,Property damage
211020,Vesuvius,13311,100440,Lahar or mudflow
213020,Nemrut Dagi,13312,100441,Explosion
213020,Nemrut Dagi,13312,100442,Ash
213020,Nemrut Dagi,13313,100443,Explosion
213020,Nemrut Dagi,13313,100444,Ash
211020,Vesuvius,13314,100446,Explosion
211020,Vesuvius,13314,100447,Ash
211020,Vesuvius,13314,100448,Lava flow(s)
211020,Vesuvius,13314,100449,Property damage
211020,Vesuvius,13314,100450,Eruption cloud
211020,Vesuvius,13314,100451,Earthquakes (undefined)
211020,Vesuvius,13314,100452,Lightning
211020,Vesuvius,13314,100453,Lava flow(s)
211020,Vesuvius,13315,100456,Explosion
211020,Vesuvius,13315,100457,Pyroclastic flow
211020,Vesuvius,13315,100458,Lava flow(s)
211020,Vesuvius,13315,100459,Property damage
211020,Vesuvius,13315,100460,Fatalities
211020,Vesuvius,13315,100461,Blocks
211020,Vesuvius,13315,100462,Lava flow(s)
211020,Vesuvius,13316,100464,Lava flow(s)
211020,Vesuvius,13316,100465,Lava flow(s)
211020,Vesuvius,13317,100467,Lava flow(s)
211020,Vesuvius,13317,100468,Lava flow(s)
211020,Vesuvius,13325,100469,Bombs
211020,Vesuvius,13325,100470,Lava flow(s)
211020,Vesuvius,13326,100472,Explosion
211020,Vesuvius,13327,100474,Explosion
211020,Vesuvius,13328,100476,Explosion
211020,Vesuvius,13329,100478,Ash
211020,Vesuvius,13329,100479,Phreatic activity
211020,Vesuvius,13330,100481,Ash
211020,Vesuvius,13330,100482,Scoria
211020,Vesuvius,13330,100483,Phreatic activity
213020,Nemrut Dagi,13331,100484,Explosion
213020,Nemrut Dagi,13331,100485,Ash
211020,Vesuvius,13332,100488,Explosion
211020,Vesuvius,13332,100489,Ash
211020,Vesuvius,13332,100490,Pyroclastic flow
211020,Vesuvius,13332,100491,Property damage
211020,Vesuvius,13332,100492,Fatalities
211020,Vesuvius,13332,100493,Lahar or mudflow
211020,Vesuvius,13332,100494,Tsunami
211020,Vesuvius,13332,100495,Caldera formation
211020,Vesuvius,13332,100496,Evacuations
211020,Vesuvius,13332,100497,Eruption cloud
211020,Vesuvius,13332,100498,Edifice destroyed
211020,Vesuvius,13332,100499,Earthquakes (undefined)
211020,Vesuvius,13332,100500,Earthquakes (undefined)
211020,Vesuvius,13332,100501,Lightning
211020,Vesuvius,13337,100503,Explosion
211020,Vesuvius,13337,100504,Lava flow(s)
211020,Vesuvius,13337,100505,Earthquakes (undefined)
211020,Vesuvius,13338,100507,Explosion
211020,Vesuvius,13338,100508,Ash
211020,Vesuvius,13338,100509,Lapilli
211020,Vesuvius,13338,100510,Lava flow(s)
211020,Vesuvius,13338,100511,Property damage
211020,Vesuvius,13338,100512,Lahar or mudflow
211020,Vesuvius,13338,100513,Earthquakes (undefined)
211020,Vesuvius,13339,100516,Explosion
211020,Vesuvius,13339,100517,Ash
211020,Vesuvius,13339,100518,Lapilli
211020,Vesuvius,13339,100519,Scoria
211020,Vesuvius,13339,100520,Lava flow(s)
211020,Vesuvius,13339,100521,Property damage
211020,Vesuvius,13339,100522,Lahar or mudflow
211020,Vesuvius,13339,100523,Earthquakes (undefined)
211020,Vesuvius,13339,100524,Lightning
211020,Vesuvius,13340,100527,Explosion
211020,Vesuvius,13340,100528,Ash
211020,Vesuvius,13340,100529,Lava flow(s)
211020,Vesuvius,13340,100530,Property damage
211020,Vesuvius,13340,100531,Lava fountains
211020,Vesuvius,13340,100532,Earthquakes (undefined)
211020,Vesuvius,13341,100534,Explosion
211020,Vesuvius,13345,100535,Lava flow(s)
211020,Vesuvius,13345,100536,Property damage
211020,Vesuvius,13345,100537,Eruption cloud
211020,Vesuvius,13345,100538,Cinder cone formation
211020,Vesuvius,13345,100539,Earthquakes (undefined)
211020,Vesuvius,13345,100540,Lightning
211020,Vesuvius,13346,100543,Explosion
211020,Vesuvius,13346,100544,Ash
211020,Vesuvius,13346,100545,Lapilli
211020,Vesuvius,13346,100546,Lava flow(s)
211020,Vesuvius,13346,100547,Property damage
211020,Vesuvius,13346,100548,Fatalities
211020,Vesuvius,13346,100549,Lahar or mudflow
211020,Vesuvius,13346,100550,Evacuations
211020,Vesuvius,13346,100551,Lava fountains
211020,Vesuvius,13346,100552,Eruption cloud
211020,Vesuvius,13346,100553,Cinder cone formation
211020,Vesuvius,13346,100554,Earthquakes (undefined)
211020,Vesuvius,13346,100555,Lightning
241030,Taranaki,13347,100557,Explosion
241030,Taranaki,13347,100558,Ash
241030,Taranaki,13348,100559,Explosion
241030,Taranaki,13348,100560,Tephra
211020,Vesuvius,13349,100563,Explosion
211020,Vesuvius,13349,100564,Ash
211020,Vesuvius,13349,100565,Lava flow(s)
211020,Vesuvius,13349,100566,Property damage
211020,Vesuvius,13349,100567,Fatalities
211020,Vesuvius,13352,100568,Lava fountains
211020,Vesuvius,13352,100569,Eruption cloud
211020,Vesuvius,13352,100570,Lightning
211020,Vesuvius,13353,100573,Explosion
211020,Vesuvius,13353,100574,Ash
211020,Vesuvius,13353,100575,Lava flow(s)
211020,Vesuvius,13353,100576,Property damage
211020,Vesuvius,13353,100577,Eruption cloud
211020,Vesuvius,13353,100578,Cinder cone formation
211020,Vesuvius,13354,100581,Explosion
211020,Vesuvius,13354,100582,Lava flow(s)
211020,Vesuvius,13354,100583,Property damage
211020,Vesuvius,13355,100586,Explosion
211020,Vesuvius,13355,100587,Ash
211020,Vesuvius,13355,100588,Lava flow(s)
211020,Vesuvius,13355,100589,Property damage
211020,Vesuvius,13355,100590,Evacuations
211020,Vesuvius,13355,100591,Lava fountains
211020,Vesuvius,13355,100592,Eruption cloud
211020,Vesuvius,13355,100593,Earthquakes (undefined)
211020,Vesuvius,13355,100594,Deformation (inflation)
241040,Whakaari/White Island,13356,100596,Explosion
241040,Whakaari/White Island,13356,100597,Ash
241040,Whakaari/White Island,13356,100598,Crater formation
211020,Vesuvius,13360,100601,Blocks
211020,Vesuvius,13361,100604,Explosion
211020,Vesuvius,13361,100605,Lapilli
211020,Vesuvius,13361,100606,Bombs
211020,Vesuvius,13361,100607,Scoria
211020,Vesuvius,13361,100608,Pyroclastic flow
211020,Vesuvius,13361,100609,Lava flow(s)
211020,Vesuvius,13361,100610,Property damage
211020,Vesuvius,13361,100611,Fatalities
211020,Vesuvius,13361,100612,Evacuations
211020,Vesuvius,13361,100613,Lava fountains
211020,Vesuvius,13361,100614,Earthquakes (undefined)
211031,Palinuro,13362,100616,Explosion
211031,Palinuro,13362,100617,Ash
211030,Ischia,13363,100619,Lava dome formation
211030,Ischia,13364,100621,Explosion
211030,Ischia,13364,100622,Lava flow(s)
211030,Ischia,13364,100623,Lava dome formation
211030,Ischia,13364,100624,Lava flow(s)
211030,Ischia,13367,100629,Explosion
211030,Ischia,13367,100630,Ash
211030,Ischia,13367,100631,Pyroclastic flow
211030,Ischia,13368,100633,Explosion
211030,Ischia,13377,100634,Earthquakes (undefined)
211030,Ischia,13378,100636,Explosion
211030,Ischia,13378,100637,Scoria
211030,Ischia,13378,100638,Lava flow(s)
211030,Ischia,13379,100640,Explosion
211030,Ischia,13379,100641,Lava flow(s)
211030,Ischia,13381,100644,Explosion
211030,Ischia,13381,100645,Ash
211030,Ischia,13381,100646,Lapilli
211030,Ischia,13381,100647,Pyroclastic flow
211030,Ischia,13381,100648,Pumice
211030,Ischia,13382,100649,Explosion
211030,Ischia,13382,100650,Lava dome formation
211030,Ischia,13383,100652,Explosion
211030,Ischia,13383,100653,Lava dome formation
211030,Ischia,13383,100654,Pumice
262000,Krakatau,13384,100657,Explosion
262000,Krakatau,13385,100660,Explosion
262000,Krakatau,13386,100663,Explosion
262000,Krakatau,13387,100666,Explosion
211042,Lipari,13395,100668,Explosion
211042,Lipari,13395,100669,Pyroclastic flow
211042,Lipari,13395,100670,Lava flow(s)
211042,Lipari,13395,100671,Lava flow(s)
211042,Lipari,13395,100672,Lava dome formation
211042,Lipari,13395,100673,Pumice
211042,Lipari,13395,100674,Lava flow(s)
211042,Lipari,13396,100676,Explosion
211042,Lipari,13396,100677,Ash
211042,Lipari,13396,100678,Lapilli
211042,Lipari,13396,100679,Pyroclastic flow
211042,Lipari,13396,100680,Lava flow(s)
211042,Lipari,13396,100681,Lava flow(s)
211042,Lipari,13396,100682,Lava dome formation
211042,Lipari,13396,100683,Pumice
211042,Lipari,13396,100684,Lava flow(s)
263180,Slamet,13397,100686,Explosion
263180,Slamet,13397,100687,Ash
263180,Slamet,13398,100689,Ash
263180,Slamet,13398,100690,Loud audible noises
263180,Slamet,13398,100691,Blocks
263180,Slamet,13399,100693,Explosion
263180,Slamet,13399,100694,Ash
263180,Slamet,13399,100695,Bombs
263180,Slamet,13399,100696,Blocks
263180,Slamet,13400,100698,Explosion
263180,Slamet,13400,100699,Ash
263200,Dieng Volcanic Complex,13412,100700,Ash
263200,Dieng Volcanic Complex,13412,100701,Phreatic activity
211040,Stromboli,13413,100703,Explosion
211040,Stromboli,13413,100704,Scoria
211040,Stromboli,13413,100705,Lava flow(s)
211040,Stromboli,13413,100706,Lava flow(s)
211040,Stromboli,13414,100708,Explosion
211040,Stromboli,13414,100709,Ash
211040,Stromboli,13414,100710,Scoria
211040,Stromboli,13414,100711,Pyroclastic flow
211040,Stromboli,13414,100712,Lahar or mudflow
211040,Stromboli,13414,100713,Tsunami
211040,Stromboli,13414,100714,Edifice destroyed
211040,Stromboli,13414,100715,Debris avalanches
211040,Stromboli,13414,100716,Phreatomagmatic eruption
211040,Stromboli,13415,100718,Explosion
211040,Stromboli,13416,100720,Explosion
211040,Stromboli,13417,100722,Explosion
211040,Stromboli,13418,100724,Explosion
211040,Stromboli,13419,100726,Explosion
211040,Stromboli,13420,100728,Explosion
263250,Merapi,13421,100730,Lava dome formation
263250,Merapi,13422,100732,Lava dome formation
211040,Stromboli,13430,100733,Explosion
211040,Stromboli,13430,100734,Ash
211040,Stromboli,13430,100735,Pyroclastic flow
211040,Stromboli,13430,100736,Lava flow(s)
211040,Stromboli,13430,100737,Property damage
211040,Stromboli,13430,100738,Fatalities
211040,Stromboli,13430,100739,Tsunami
211040,Stromboli,13430,100740,Lava fountains
211040,Stromboli,13430,100741,Earthquakes (undefined)
211040,Stromboli,13430,100742,Blocks
211040,Stromboli,13430,100743,Lava flow(s)
211040,Stromboli,13431,100745,Explosion
241080,Tongariro,13432,100747,Explosion
241080,Tongariro,13432,100748,Ash
241080,Tongariro,13433,100750,Explosion
241080,Tongariro,13433,100751,Earthquakes (undefined)
241080,Tongariro,13434,100753,Explosion
241080,Tongariro,13434,100754,Ash
211040,Stromboli,13435,100758,Island formation
211040,Stromboli,13435,100759,Explosion
211040,Stromboli,13435,100760,Ash
211040,Stromboli,13435,100761,Lapilli
211040,Stromboli,13435,100762,Bombs
211040,Stromboli,13435,100763,Pyroclastic flow
211040,Stromboli,13435,100764,Lava flow(s)
211040,Stromboli,13435,100765,Property damage
211050,Vulcano,13444,100766,Explosion
211050,Vulcano,13444,100767,Blocks
211050,Vulcano,13446,100772,Island formation
211050,Vulcano,13446,100773,Explosion
211050,Vulcano,13446,100774,Ash
211050,Vulcano,13446,100775,Crater formation
211050,Vulcano,13447,100776,Explosion
211050,Vulcano,13447,100777,Pyroclastic flow
263310,Tengger Caldera,13448,100779,Explosion
263310,Tengger Caldera,13449,100781,Explosion
263310,Tengger Caldera,13450,100783,Explosion
263310,Tengger Caldera,13450,100784,Ash
211050,Vulcano,13451,100786,Island formation
211050,Vulcano,13451,100787,Tsunami
211050,Vulcano,13452,100789,Explosion
211050,Vulcano,13455,100793,Lava flow(s)
211050,Vulcano,13456,100795,Explosion
211050,Vulcano,13457,100797,Explosion
211050,Vulcano,13457,100798,Lava flow(s)
211050,Vulcano,13469,100799,Explosion
211050,Vulcano,13470,100802,Explosion
211050,Vulcano,13470,100803,Ash
211050,Vulcano,13470,100804,Pyroclastic flow
211050,Vulcano,13470,100805,Phreatic activity
211050,Vulcano,13470,100806,Lahar or mudflow
211050,Vulcano,13470,100807,Crater formation
211050,Vulcano,13471,100809,Explosion
211050,Vulcano,13471,100810,Ash
211050,Vulcano,13471,100811,Lava flow(s)
211050,Vulcano,13471,100812,Lava flow(s)
211050,Vulcano,13471,100813,Lahar or mudflow
211050,Vulcano,13471,100814,Pumice
211050,Vulcano,13472,100816,Explosion
211050,Vulcano,13472,100817,Ash
211050,Vulcano,13472,100818,Scoria
211050,Vulcano,13473,100820,Explosion
211050,Vulcano,13474,100822,Explosion
211050,Vulcano,13475,100824,Explosion
211050,Vulcano,13475,100825,Ash
211050,Vulcano,13475,100826,Blocks
211050,Vulcano,13476,100828,Explosion
211050,Vulcano,13477,100830,Explosion
211060,Etna,13490,100832,Explosion
211060,Etna,13490,100833,Pumice
211060,Etna,13491,100834,Explosion
211060,Etna,13491,100835,Scoria
211060,Etna,13492,100837,Explosion
211060,Etna,13492,100838,Lava flow(s)
211060,Etna,13492,100839,Property damage
211060,Etna,13492,100840,Lahar or mudflow
211060,Etna,13494,100842,Explosion
